va,vb,ca,cb,n
2,13,2,0,200
2,13,3,1,201
2,13,3,0,2217
2,13,0,2,209
2,13,0,3,2259
2,13,1,2,2339
3,13,2,0,1119
3,13,3,0,1379
3,13,3,1,1136
3,13,1,3,1158
3,13,2,1,1427
3,13,0,2,1102
3,13,0,3,1319
3,13,1,2,1360
4,13,1,0,2531
4,13,3,2,2509
4,13,2,3,2465
4,13,0,1,2495
5,13,1,3,344
5,13,2,1,2109
5,13,3,1,349
5,13,3,0,2225
5,13,0,2,379
5,13,1,2,2162
5,13,0,3,2082
5,13,2,0,350
6,13,0,3,306
6,13,1,2,335
6,13,0,2,2185
6,13,2,1,352
6,13,1,3,2143
6,13,2,0,2169
6,13,3,0,360
6,13,3,1,2150
7,13,3,2,2530
7,13,2,3,2475
7,13,1,0,2556
7,13,0,1,2439
8,13,2,0,2445
8,13,1,2,13
8,13,0,3,16
8,13,0,2,2470
8,13,2,1,9
8,13,1,3,2496
8,13,3,0,18
8,13,3,1,2533
9,13,2,0,48
9,13,1,3,52
9,13,2,1,2483
9,13,0,2,64
9,13,1,2,2439
9,13,0,3,2429
9,13,3,1,57
9,13,3,0,2428
10,13,1,0,1
10,13,3,1,785
10,13,3,0,1697
10,13,0,2,847
10,13,0,3,1736
10,13,1,2,1657
10,13,2,0,762
10,13,2,1,1706
10,13,1,3,809
11,13,1,0,2496
11,13,3,2,2457
11,13,0,1,2511
11,13,2,3,2536
12,13,2,1,343
12,13,1,3,2113
12,13,3,0,340
12,13,3,1,2148
12,13,2,0,2170
12,13,1,2,333
12,13,0,3,326
12,13,0,2,2227
