va,vb,ca,cb,n
9,6,0,3,31
9,6,1,3,14
9,6,2,3,135
9,6,3,3,51
10,6,0,0,48
10,6,1,0,199
10,6,2,0,8
10,6,3,0,43
10,6,0,1,166
10,6,1,1,13
10,6,2,1,50
10,6,3,1,4
10,6,0,2,7
10,6,1,2,48
10,6,2,2,31
10,6,3,2,191
10,6,0,3,24
10,6,1,3,14
10,6,2,3,166
10,6,3,3,12
8,7,0,0,13
8,7,1,0,43
8,7,2,0,40
8,7,3,0,135
8,7,0,1,44
8,7,1,1,14
8,7,2,1,218
8,7,3,1,27
8,7,0,2,33
8,7,1,2,180
8,7,2,2,15
8,7,3,2,22
8,7,0,3,194
8,7,1,3,16
8,7,2,3,19
8,7,3,3,11
10,7,0,0,26
10,7,1,0,20
10,7,2,0,145
10,7,3,0,33
10,7,0,1,10
10,7,1,1,35
10,7,2,1,66
10,7,3,1,162
10,7,0,2,152
10,7,1,2,62
10,7,2,2,26
10,7,3,2,15
10,7,0,3,91
10,7,1,3,134
10,7,2,3,12
10,7,3,3,35
12,7,0,0,22
12,7,1,0,33
12,7,2,0,28
12,7,3,0,158
12,7,0,1,42
12,7,1,1,8
12,7,2,1,200
12,7,3,1,31
12,7,0,2,49
12,7,1,2,149
12,7,2,2,17
12,7,3,2,29
12,7,0,3,171
12,7,1,3,42
12,7,2,3,39
12,7,3,3,6
9,8,0,0,39
9,8,1,0,200
9,8,2,0,17
9,8,3,0,35
9,8,0,1,166
9,8,1,1,19
9,8,2,1,39
9,8,3,1,17
9,8,0,2,11
9,8,1,2,32
9,8,2,2,27
9,8,3,2,227
9,8,0,3,34
9,8,1,3,15
9,8,2,3,129
9,8,3,3,17
11,8,0,0,13
11,8,1,0,40
11,8,2,0,20
11,8,3,0,190
11,8,0,1,48
11,8,1,1,17
11,8,2,1,180
11,8,3,1,10
11,8,0,2,34
11,8,1,2,217
11,8,2,2,19
11,8,3,2,34
11,8,0,3,146
11,8,1,3,21
11,8,2,3,28
11,8,3,3,7
0,13,0,0,28
0,13,1,0,22
0,13,2,0,149
0,13,3,0,83
0,13,0,1,15
0,13,1,1,28
0,13,2,1,83
0,13,3,1,94
0,13,0,2,183
0,13,1,2,64
0,13,2,2,18
0,13,3,2,21
0,13,0,3,51
0,13,1,3,138
0,13,2,3,26
0,13,3,3,21
1,13,0,0,37
1,13,1,0,219
1,13,2,0,14
1,13,3,0,37
1,13,0,1,144
1,13,1,1,27
1,13,2,1,40
1,13,3,1,10
1,13,0,2,12
1,13,1,2,32
1,13,2,2,23
1,13,3,2,218
1,13,0,3,29
1,13,1,3,16
1,13,2,3,155
1,13,3,3,11
2,13,0,0,25
2,13,1,0,37
2,13,2,0,50
2,13,3,0,193
2,13,0,1,32
2,13,1,1,15
2,13,2,1,123
2,13,3,1,55
2,13,0,2,35
2,13,1,2,173
2,13,2,2,10
2,13,3,2,29
2,13,0,3,178
2,13,1,3,21
2,13,2,3,32
2,13,3,3,16
3,13,0,0,44
3,13,1,0,27
3,13,2,0,141
3,13,3,0,111
3,13,0,1,25
3,13,1,1,22
3,13,2,1,72
3,13,3,1,123
3,13,0,2,89
3,13,1,2,130
3,13,2,2,32
3,13,3,2,18
3,13,0,3,86
3,13,1,3,64
3,13,2,3,20
3,13,3,3,20
4,13,0,0,31
4,13,1,0,221
4,13,2,0,9
4,13,3,0,39
4,13,0,1,144
4,13,1,1,29
4,13,2,1,28
4,13,3,1,16
4,13,0,2,12
4,13,1,2,27
4,13,2,2,25
4,13,3,2,200
4,13,0,3,35
4,13,1,3,10
4,13,2,3,184
4,13,3,3,14
5,13,0,0,19
5,13,1,0,27
5,13,2,0,36
5,13,3,0,207
5,13,0,1,29
5,13,1,1,13
5,13,2,1,155
5,13,3,1,18
5,13,0,2,63
5,13,1,2,179
5,13,2,2,16
5,13,3,2,26
5,13,0,3,158
5,13,1,3,42
5,13,2,3,27
5,13,3,3,9
6,13,0,0,52
6,13,1,0,4
6,13,2,0,205
6,13,3,0,32
6,13,0,1,18
6,13,1,1,26
6,13,2,1,32
6,13,3,1,165
6,13,0,2,161
6,13,1,2,54
6,13,2,2,33
6,13,3,2,9
6,13,0,3,43
6,13,1,3,148
6,13,2,3,12
6,13,3,3,30
7,13,0,0,38
7,13,1,0,220
7,13,2,0,14
7,13,3,0,38
7,13,0,1,155
7,13,1,1,17
7,13,2,1,32
7,13,3,1,13
7,13,0,2,11
7,13,1,2,20
7,13,2,2,22
7,13,3,2,196
7,13,0,3,28
7,13,1,3,19
7,13,2,3,185
7,13,3,3,16
8,13,0,0,41
8,13,1,0,10
8,13,2,0,234
8,13,3,0,21
8,13,0,1,14
8,13,1,1,29
8,13,2,1,36
8,13,3,1,141
8,13,0,2,208
8,13,1,2,15
8,13,2,2,26
8,13,3,2,17
8,13,0,3,20
8,13,1,3,176
8,13,2,3,12
8,13,3,3,24
9,13,0,0,7
9,13,1,0,44
9,13,2,0,23
9,13,3,0,181
9,13,0,1,33
9,13,1,1,12
9,13,2,1,160
9,13,3,1,21
9,13,0,2,45
9,13,1,2,202
9,13,2,2,8
9,13,3,2,38
9,13,0,3,189
9,13,1,3,9
9,13,2,3,38
9,13,3,3,14
10,13,0,0,15
10,13,1,0,40
10,13,2,0,67
10,13,3,0,193
10,13,0,1,31
10,13,1,1,16
10,13,2,1,118
10,13,3,1,37
10,13,0,2,99
10,13,1,2,140
10,13,2,2,13
10,13,3,2,22
10,13,0,3,125
10,13,1,3,56
10,13,2,3,31
10,13,3,3,21
11,13,0,0,30
11,13,1,0,223
11,13,2,0,17
11,13,3,0,44
11,13,0,1,153
11,13,1,1,22
11,13,2,1,20
11,13,3,1,12
11,13,0,2,13
11,13,1,2,39
11,13,2,2,16
11,13,3,2,200
11,13,0,3,32
11,13,1,3,19
11,13,2,3,172
11,13,3,3,12
12,13,0,0,51
12,13,1,0,14
12,13,2,0,227
12,13,3,0,28
