va,vb,ca,cb,win,n,job,backend,shots
0,2,3,2,1,52,cjrouffggiqgokfp38g0,ibm_auckland,1024
0,2,0,3,1,125,cjrouffggiqgokfp38g0,ibm_auckland,1024
0,2,1,3,1,29,cjrouffggiqgokfp38g0,ibm_auckland,1024
0,2,2,3,1,92,cjrouffggiqgokfp38g0,ibm_auckland,1024
0,2,3,3,0,15,cjrouffggiqgokfp38g0,ibm_auckland,1024
0,4,0,0,0,31,cjrouffggiqgokfp38g0,ibm_auckland,1024
0,4,1,0,1,14,cjrouffggiqgokfp38g0,ibm_auckland,1024
0,4,2,0,1,13,cjrouffggiqgokfp38g0,ibm_auckland,1024
0,4,3,0,1,179,cjrouffggiqgokfp38g0,ibm_auckland,1024
0,4,0,1,1,23,cjrouffggiqgokfp38g0,ibm_auckland,1024
0,4,1,1,0,29,cjrouffggiqgokfp38g0,ibm_auckland,1024
0,4,2,1,1,174,cjrouffggiqgokfp38g0,ibm_auckland,1024
0,4,3,1,1,18,cjrouffggiqgokfp38g0,ibm_auckland,1024
0,4,0,2,1,21,cjrouffggiqgokfp38g0,ibm_auckland,1024
0,4,1,2,1,197,cjrouffggiqgokfp38g0,ibm_auckland,1024
0,4,2,2,0,20,cjrouffggiqgokfp38g0,ibm_auckland,1024
0,4,3,2,1,28,cjrouffggiqgokfp38g0,ibm_auckland,1024
0,4,0,3,1,196,cjrouffggiqgokfp38g0,ibm_auckland,1024
0,4,1,3,1,27,cjrouffggiqgokfp38g0,ibm_auckland,1024
0,4,2,3,1,19,cjrouffggiqgokfp38g0,ibm_auckland,1024
0,4,3,3,0,35,cjrouffggiqgokfp38g0,ibm_auckland,1024
0,3,0,0,0,21,cjrouffggiqgokfp38g0,ibm_auckland,1024
0,3,1,0,1,220,cjrouffggiqgokfp38g0,ibm_auckland,1024
0,3,2,0,1,10,cjrouffggiqgokfp38g0,ibm_auckland,1024
0,3,3,0,1,23,cjrouffggiqgokfp38g0,ibm_auckland,1024
0,3,0,1,1,156,cjrouffggiqgokfp38g0,ibm_auckland,1024
0,3,1,1,0,26,cjrouffggiqgokfp38g0,ibm_auckland,1024
0,3,2,1,1,14,cjrouffggiqgokfp38g0,ibm_auckland,1024
0,3,3,1,1,43,cjrouffggiqgokfp38g0,ibm_auckland,1024
0,3,0,2,1,29,cjrouffggiqgokfp38g0,ibm_auckland,1024
0,3,1,2,1,23,cjrouffggiqgokfp38g0,ibm_auckland,1024
0,3,2,2,0,13,cjrouffggiqgokfp38g0,ibm_auckland,1024
0,3,3,2,1,188,cjrouffggiqgokfp38g0,ibm_auckland,1024
0,3,0,3,1,30,cjrouffggiqgokfp38g0,ibm_auckland,1024
0,3,1,3,1,18,cjrouffggiqgokfp38g0,ibm_auckland,1024
0,3,2,3,1,193,cjrouffggiqgokfp38g0,ibm_auckland,1024
0,3,3,3,0,17,cjrouffggiqgokfp38g0,ibm_auckland,1024
1,2,0,0,0,16,cjrouffggiqgokfp38g0,ibm_auckland,1024
1,2,1,0,1,16,cjrouffggiqgokfp38g0,ibm_auckland,1024
1,2,2,0,1,174,cjrouffggiqgokfp38g0,ibm_auckland,1024
1,2,3,0,1,13,cjrouffggiqgokfp38g0,ibm_auckland,1024
1,2,0,1,1,16,cjrouffggiqgokfp38g0,ibm_auckland,1024
1,2,1,1,0,37,cjrouffggiqgokfp38g0,ibm_auckland,1024
1,2,2,1,1,43,cjrouffggiqgokfp38g0,ibm_auckland,1024
1,2,3,1,1,190,cjrouffggiqgokfp38g0,ibm_auckland,1024
1,2,0,2,1,196,cjrouffggiqgokfp38g0,ibm_auckland,1024
1,2,1,2,1,14,cjrouffggiqgokfp38g0,ibm_auckland,1024
1,2,2,2,0,16,cjrouffggiqgokfp38g0,ibm_auckland,1024
1,2,3,2,1,19,cjrouffggiqgokfp38g0,ibm_auckland,1024
1,2,0,3,1,30,cjrouffggiqgokfp38g0,ibm_auckland,1024
1,2,1,3,1,182,cjrouffggiqgokfp38g0,ibm_auckland,1024
1,2,2,3,1,33,cjrouffggiqgokfp38g0,ibm_auckland,1024
1,2,3,3,0,29,cjrouffggiqgokfp38g0,ibm_auckland,1024
1,5,0,0,0,27,cjrouffggiqgokfp38g0,ibm_auckland,1024
1,5,1,0,1,57,cjrouffggiqgokfp38g0,ibm_auckland,1024
1,5,2,0,1,145,cjrouffggiqgokfp38g0,ibm_auckland,1024
1,5,3,0,1,26,cjrouffggiqgokfp38g0,ibm_auckland,1024
1,5,0,1,1,60,cjrouffggiqgokfp38g0,ibm_auckland,1024
