va,vb,noise_factor,obs_value,obs_var,extrapolated_value
1,1,5,0.95703125,0.02065420150756836,0.8957031250000002
1,2,1,0.923828125,0.03573799133300781,0.9159179687499999
1,2,2,0.9375,0.029437541961669922,0.9159179687499999
1,2,3,0.97265625,0.01337432861328125,0.9159179687499999
1,2,4,0.9658203125,0.016624927520751953,0.9159179687499999
1,2,5,0.974609375,0.012445926666259766,0.9159179687499999
1,5,1,0.96875,0.015254497528076172,1.1295898437499998
1,5,2,0.9306640625,0.0326237678527832,1.1295898437499998
1,5,3,0.9365234375,0.030230998992919922,1.1295898437499998
1,5,4,0.96484375,0.017084121704101562,1.1295898437499998
1,5,5,0.50390625,0.13014650344848633,1.1295898437499998
1,6,1,0.958984375,0.019834041595458984,0.9158203125000004
1,6,2,0.8955078125,0.047029972076416016,0.9158203125000004
1,6,3,0.9326171875,0.03189706802368164,0.9158203125000004
1,6,4,0.9658203125,0.016617298126220703,0.9158203125000004
1,6,5,0.97265625,0.01335287094116211,0.9158203125000004
1,13,1,0.931640625,0.0323796272277832,0.8957031250000003
1,13,2,0.931640625,0.03240394592285156,0.8957031250000003
1,13,3,0.48828125,0.13025331497192383,0.8957031250000003
1,13,4,0.240234375,0.18716669082641602,0.8957031250000003
1,13,5,0.97265625,0.013354778289794922,0.8957031250000003
2,0,1,0.9248046875,0.03547191619873047,0.91298828125
2,0,2,0.9267578125,0.0345463752746582,0.91298828125
2,0,3,0.9658203125,0.016617298126220703,0.91298828125
2,0,4,0.974609375,0.012453079223632812,0.91298828125
2,0,5,0.96484375,0.017056941986083984,0.91298828125
2,1,1,0.9248046875,0.03516721725463867,0.5187499999999996
2,1,2,0.490234375,0.13255071640014648,0.5187499999999996
2,1,3,0.0791015625,0.16024065017700195,0.5187499999999996
2,1,4,0.96484375,0.017110347747802734,0.5187499999999996
2,1,5,0.9638671875,0.017567157745361328,0.5187499999999996
2,2,1,0.962890625,0.018007755279541016,0.9096679687499998
2,2,2,0.8466796875,0.06859064102172852,0.9096679687499998
2,2,3,0.9619140625,0.018493175506591797,0.9096679687499998
2,2,4,0.958984375,0.019872665405273438,0.9096679687499998
2,2,5,0.951171875,0.023468494415283203,0.9096679687499998
2,7,1,0.96484375,0.017056941986083984,0.8330078125000001
2,7,2,0.05078125,0.16217994689941406,0.8330078125000001
2,7,3,0.958984375,0.019872665405273438,0.8330078125000001
2,7,4,0.478515625,0.13161420822143555,0.8330078125000001
