p_err,va,vb,pcc,p_win
0.00017782794100389227,13,13,0.994140625,0.994140625
0.00017782794100389227,0,1,0.0009765625,0.9990234375
0.00017782794100389227,0,2,0.0009765625,0.9990234375
0.00017782794100389227,0,4,0.0009765625,0.9990234375
0.00017782794100389227,0,3,0.0009765625,0.9990234375
0.00017782794100389227,1,2,0.0009765625,0.9990234375
0.00017782794100389227,1,5,0.0029296875,0.9970703125
0.00017782794100389227,1,6,0.0029296875,0.9970703125
0.00017782794100389227,2,7,0.0029296875,0.9970703125
0.00017782794100389227,2,8,0.0029296875,0.9970703125
0.00017782794100389227,3,4,0.0009765625,0.9990234375
0.00017782794100389227,3,10,0.0009765625,0.9990234375
0.00017782794100389227,3,11,0.0009765625,0.9990234375
0.00017782794100389227,4,12,0.00390625,0.99609375
0.00017782794100389227,4,9,0.0009765625,0.9990234375
0.00017782794100389227,5,6,0.0009765625,0.9990234375
0.00017782794100389227,5,11,0.0,1.0
0.00017782794100389227,5,12,0.0009765625,0.9990234375
0.00017782794100389227,6,9,0.0,1.0
0.00017782794100389227,6,10,0.0,1.0
0.00017782794100389227,7,8,0.001953125,0.998046875
0.00017782794100389227,7,10,0.001953125,0.998046875
0.00017782794100389227,7,12,0.0029296875,0.9970703125
0.00017782794100389227,8,9,0.0009765625,0.9990234375
0.00017782794100389227,8,11,0.0009765625,0.9990234375
0.00017782794100389227,13,0,0.0048828125,0.9951171875
0.00017782794100389227,13,1,0.0,1.0
0.00017782794100389227,13,2,0.001953125,0.998046875
0.00017782794100389227,13,3,0.0,1.0
0.00017782794100389227,13,4,0.0,1.0
0.00017782794100389227,13,5,0.001953125,0.998046875
0.00017782794100389227,13,6,0.0,1.0
0.00017782794100389227,13,7,0.0,1.0
0.00017782794100389227,13,8,0.0,1.0
0.00017782794100389227,13,9,0.0,1.0
0.00017782794100389227,13,10,0.0009765625,0.9990234375
0.00017782794100389227,13,11,0.0009765625,0.9990234375
0.00017782794100389227,13,12,0.0009765625,0.9990234375
0.00017782794100389227,1,0,0.0009765625,0.9990234375
0.00017782794100389227,2,0,0.0,1.0
0.00017782794100389227,4,0,0.0,1.0
0.00017782794100389227,3,0,0.0,1.0
0.00017782794100389227,2,1,0.001953125,0.998046875
0.00017782794100389227,5,1,0.0029296875,0.9970703125
0.00017782794100389227,6,1,0.0009765625,0.9990234375
0.00017782794100389227,7,2,0.0029296875,0.9970703125
0.00017782794100389227,8,2,0.0,1.0
0.00017782794100389227,4,3,0.0009765625,0.9990234375
0.00017782794100389227,10,3,0.0029296875,0.9970703125
0.00017782794100389227,11,3,0.0,1.0
0.00017782794100389227,12,4,0.0,1.0
0.00017782794100389227,9,4,0.0,1.0
0.00017782794100389227,6,5,0.0029296875,0.9970703125
0.00017782794100389227,11,5,0.001953125,0.998046875
0.00017782794100389227,12,5,0.0009765625,0.9990234375
0.00017782794100389227,9,6,0.0009765625,0.9990234375
0.00017782794100389227,10,6,0.0009765625,0.9990234375
0.00017782794100389227,8,7,0.0029296875,0.9970703125
0.00017782794100389227,10,7,0.0048828125,0.9951171875
0.00017782794100389227,12,7,0.001953125,0.998046875
0.00017782794100389227,9,8,0.0009765625,0.9990234375
0.00017782794100389227,11,8,0.0009765625,0.9990234375
0.00017782794100389227,0,13,0.001953125,0.998046875
0.00017782794100389227,1,13,0.0,1.0
0.00017782794100389227,2,13,0.0009765625,0.9990234375
0.00017782794100389227,3,13,0.0,1.0
0.00017782794100389227,4,13,0.0,1.0
0.00017782794100389227,5,13,0.0,1.0
0.00017782794100389227,6,13,0.001953125,0.998046875
0.00017782794100389227,7,13,0.0,1.0
0.00017782794100389227,8,13,0.0,1.0
0.00017782794100389227,9,13,0.0,1.0
0.00017782794100389227,10,13,0.0009765625,0.9990234375
0.00017782794100389227,11,13,0.0009765625,0.9990234375
0.00017782794100389227,12,13,0.0,1.0
0.00031622776601683794,0,0,0.9921875,0.9921875
0.00031622776601683794,1,1,0.99609375,0.99609375
0.00031622776601683794,2,2,0.990234375,0.990234375
0.00031622776601683794,3,3,0.9931640625,0.9931640625
0.00031622776601683794,4,4,0.9912109375,0.9912109375
0.00031622776601683794,5,5,0.9970703125,0.9970703125
0.00031622776601683794,6,6,0.9970703125,0.9970703125
0.00031622776601683794,7,7,0.9951171875,0.9951171875
0.00031622776601683794,8,8,0.99609375,0.99609375
0.00031622776601683794,9,9,0.9912109375,0.9912109375
0.00031622776601683794,10,10,0.9951171875,0.9951171875
0.00031622776601683794,11,11,0.9951171875,0.9951171875
0.00031622776601683794,12,12,0.990234375,0.990234375
0.00031622776601683794,13,13,0.9921875,0.9921875
0.00031622776601683794,0,1,0.001953125,0.998046875
0.00031622776601683794,0,2,0.001953125,0.998046875
0.00031622776601683794,0,4,0.0,1.0
0.00031622776601683794,0,3,0.0048828125,0.9951171875
0.00031622776601683794,1,2,0.0009765625,0.9990234375
0.00031622776601683794,1,5,0.001953125,0.998046875
0.00031622776601683794,1,6,0.0009765625,0.9990234375
0.00031622776601683794,2,7,0.0029296875,0.9970703125
