va,vb,noise_factor,obs_value,obs_var,extrapolated_value
3,0,4,0.9794921875,0.010090351104736328,0.510546875
3,0,5,0.48046875,0.12780141830444336,0.510546875
3,3,1,0.9443359375,0.026595592498779297,1.05615234375
3,3,2,0.501953125,0.12762880325317383,1.05615234375
3,3,3,0.51171875,0.12727785110473633,1.05615234375
3,3,4,0.5068359375,0.12688016891479492,1.05615234375
3,3,5,0.0048828125,0.012888431549072266,1.05615234375
3,4,1,0.5068359375,0.12804651260375977,0.4784179687500001
3,4,2,0.5,0.12740135192871094,0.4784179687500001
3,4,3,0.4873046875,0.12834644317626953,0.4784179687500001
3,4,4,0.8818359375,0.052634239196777344,0.4784179687500001
3,4,5,0.4658203125,0.1277461051940918,0.4784179687500001
3,10,1,0.974609375,0.012456417083740234,1.0638671875000003
3,10,2,0.9814453125,0.009148120880126953,1.0638671875000003
3,10,3,0.9755859375,0.011982440948486328,1.0638671875000003
3,10,4,0.1064453125,0.14662885665893555,1.0638671875000003
3,10,5,0.9775390625,0.01103830337524414,1.0638671875000003
3,11,1,0.5390625,0.1277461051940918,0.8708007812500003
3,11,2,0.9814453125,0.009148120880126953,0.8708007812500003
3,11,3,0.513671875,0.1283879280090332,0.8708007812500003
3,11,4,0.47265625,0.12740564346313477,0.8708007812500003
3,11,5,0.2666015625,0.1872248649597168,0.8708007812500003
3,13,1,0.5419921875,0.12610101699829102,0.5853515624999998
3,13,2,0.97265625,0.013396739959716797,0.5853515624999998
3,13,3,0.55078125,0.12650156021118164,0.5853515624999998
3,13,4,0.525390625,0.12807035446166992,0.5853515624999998
3,13,5,0.98046875,0.00962209701538086,0.5853515624999998
4,0,1,0.96875,0.01525115966796875,0.8694335937500005
4,0,2,0.9697265625,0.01479196548461914,0.8694335937500005
4,0,3,0.49609375,0.12835931777954102,0.8694335937500005
4,0,4,0.982421875,0.00866556167602539,0.8694335937500005
4,0,5,0.978515625,0.010571002960205078,0.8694335937500005
4,3,1,0.9755859375,0.011973857879638672,0.97490234375
4,3,2,0.970703125,0.014322280883789062,0.97490234375
4,3,3,0.5107421875,0.12752676010131836,0.97490234375
4,3,4,0.0126953125,0.01339101791381836,0.97490234375
4,3,5,0.9794921875,0.010081768035888672,0.97490234375
4,4,1,0.01171875,0.011983394622802734,-0.013671875000000056
4,4,2,0.251953125,0.18738937377929688,-0.013671875000000056
4,4,3,0.251953125,0.18742752075195312,-0.013671875000000056
4,4,4,0.970703125,0.014314651489257812,-0.013671875000000056
4,4,5,0.255859375,0.1873798370361328,-0.013671875000000056
4,9,1,0.228515625,0.18724632263183594,0.030468750000000044
4,9,2,0.5283203125,0.12596750259399414,0.030468750000000044
4,9,3,0.099609375,0.14342832565307617,0.030468750000000044
4,9,4,0.4580078125,0.12826108932495117,0.030468750000000044
4,9,5,0.9765625,0.011512279510498047,0.030468750000000044
4,12,1,0.4912109375,0.1274094581604004,0.3096679687499998
4,12,2,0.2724609375,0.18727397918701172,0.3096679687499998
4,12,3,0.9873046875,0.006287097930908203,0.3096679687499998
4,12,4,0.263671875,0.18730545043945312,0.3096679687499998
4,12,5,0.9765625,0.011508464813232422,0.3096679687499998
4,13,1,0.501953125,0.12948846817016602,0.6895507812500002
4,13,2,0.9833984375,0.008197307586669922,0.6895507812500002
4,13,3,0.96875,0.015256881713867188,0.6895507812500002
4,13,4,0.060546875,0.17435979843139648,0.6895507812500002
4,13,5,0.978515625,0.010567188262939453,0.6895507812500002
5,1,1,0.9765625,0.011512279510498047,0.8890625000000003
5,1,2,0.98046875,0.00962209701538086,0.8890625000000003
5,1,3,0.2734375,0.18726491928100586,0.8890625000000003
5,1,4,0.48046875,0.12730836868286133,0.8890625000000003
5,1,5,0.97265625,0.01339101791381836,0.8890625000000003
5,5,1,0.98046875,0.00962066650390625,1.0763671875000003
5,5,2,0.48046875,0.12804555892944336,1.0763671875000003
5,5,3,0.51953125,0.1268916130065918,1.0763671875000003
5,5,4,0.482421875,0.12659692764282227,1.0763671875000003
5,5,5,0.009765625,0.010568618774414062,1.0763671875000003
5,6,1,0.0205078125,0.07320261001586914,0.2070312500000001
