va,vb,ca,cb,n
7,2,2,0,639
8,2,0,1,615
8,2,1,3,663
8,2,2,1,1307
8,2,2,0,624
8,2,0,2,561
8,2,0,3,1289
8,2,1,2,1228
8,2,1,0,661
8,2,3,2,628
8,2,3,1,590
8,2,3,0,1222
8,2,2,3,612
4,3,0,2,1233
4,3,1,3,1318
4,3,1,0,1228
4,3,0,1,1250
4,3,2,3,1207
4,3,2,0,1271
4,3,3,2,1239
4,3,3,1,1254
10,3,2,3,205
10,3,0,1,208
10,3,1,0,172
10,3,2,1,405
10,3,1,3,1877
10,3,2,0,1835
10,3,3,1,1884
10,3,3,2,207
10,3,3,0,418
10,3,0,3,420
10,3,1,2,440
10,3,0,2,1929
11,3,2,0,222
11,3,3,0,448
11,3,3,1,195
11,3,3,2,1888
11,3,2,1,379
11,3,1,3,199
11,3,2,3,1916
11,3,1,2,424
11,3,0,3,428
11,3,0,2,238
11,3,0,1,1831
11,3,1,0,1832
12,4,0,2,216
12,4,1,2,405
12,4,0,3,427
12,4,1,3,207
12,4,2,1,401
12,4,1,0,1858
12,4,0,1,1863
12,4,2,3,1905
12,4,2,0,217
12,4,3,1,207
12,4,3,0,410
12,4,3,2,1884
9,4,2,3,214
9,4,0,1,181
9,4,1,3,1890
9,4,2,1,414
9,4,0,3,400
9,4,0,2,1917
9,4,1,2,421
9,4,1,0,189
9,4,3,2,217
9,4,3,0,426
9,4,3,1,1892
9,4,2,0,1839
6,5,2,1,2533
6,5,3,0,2501
6,5,0,3,2564
6,5,1,2,2402
11,5,2,1,1676
11,5,1,3,867
11,5,2,0,799
11,5,0,3,1648
11,5,0,2,841
11,5,1,2,1622
11,5,3,0,1660
11,5,3,1,887
12,5,2,0,790
12,5,3,1,842
12,5,3,0,1697
12,5,1,3,839
12,5,2,1,1692
12,5,1,2,1628
12,5,0,3,1717
12,5,0,2,795
9,6,2,3,852
9,6,2,1,1631
9,6,0,1,805
9,6,0,3,1691
9,6,1,2,1681
9,6,1,0,807
9,6,3,2,837
9,6,3,0,1696
10,6,0,1,834
10,6,2,3,878
10,6,1,0,806
10,6,2,1,1629
10,6,1,2,1659
10,6,0,3,1622
10,6,3,2,846
10,6,3,0,1726
8,7,1,0,1226
8,7,0,1,1247
8,7,0,2,1276
8,7,1,3,1275
8,7,2,3,1237
8,7,2,0,1219
8,7,3,1,1297
8,7,3,2,1223
10,7,2,3,220
10,7,3,2,230
10,7,3,0,443
10,7,3,1,1884
10,7,0,1,213
10,7,1,0,195
10,7,2,1,409
10,7,1,3,1893
10,7,2,0,1903
10,7,0,3,392
10,7,0,2,1821
10,7,1,2,397
12,7,2,0,212
12,7,0,2,203
12,7,0,3,419
12,7,1,2,421
12,7,2,1,413
12,7,1,3,180
12,7,1,0,1841
12,7,0,1,1923
12,7,2,3,1855
12,7,3,1,208
12,7,3,2,1893
12,7,3,0,432
9,8,1,0,198
9,8,0,1,188
9,8,2,3,221
9,8,2,0,1949
9,8,1,2,390
9,8,0,3,434
9,8,0,2,1891
9,8,3,0,407
9,8,3,2,193
9,8,3,1,1887
9,8,2,1,392
9,8,1,3,1850
11,8,1,0,1879
11,8,2,0,207
11,8,0,2,188
11,8,1,2,435
11,8,0,3,409
11,8,2,3,1783
11,8,3,1,228
11,8,3,0,405
11,8,3,2,1881
11,8,0,1,1948
11,8,1,3,203
11,8,2,1,434
0,13,0,2,1258
0,13,3,2,1266
0,13,3,1,1279
0,13,2,0,1226
0,13,1,0,1241
0,13,2,3,1232
0,13,0,1,1234
0,13,1,3,1264
1,13,1,2,2577
1,13,0,3,2516
1,13,2,1,2491
1,13,3,0,2416
2,13,1,3,1282
2,13,2,3,1250
2,13,3,1,1231
2,13,3,2,1250
2,13,0,1,1265
2,13,0,2,1245
2,13,1,0,1258
2,13,2,0,1219
3,13,2,3,637
3,13,0,1,607
3,13,1,3,648
3,13,2,1,1254
3,13,3,1,586
3,13,3,2,670
3,13,3,0,1237
3,13,0,3,1221
3,13,0,2,632
3,13,1,2,1223
3,13,1,0,669
3,13,2,0,616
4,13,2,0,600
4,13,2,3,621
4,13,0,1,648
4,13,2,1,1253
4,13,1,3,639
4,13,0,2,690
4,13,0,3,1259
4,13,1,2,1242
4,13,1,0,606
4,13,3,2,604
4,13,3,1,619
4,13,3,0,1219
5,13,2,1,1
5,13,0,1,2440
5,13,3,2,2557
5,13,1,0,2475
5,13,2,3,2527
6,13,1,3,2504
6,13,3,1,2489
6,13,2,0,2466
6,13,0,2,2541
7,13,0,1,588
7,13,2,3,665
7,13,2,0,627
7,13,1,0,617
7,13,1,2,1231
7,13,0,3,1299
7,13,0,2,597
7,13,1,3,624
7,13,2,1,1254
7,13,3,2,601
7,13,3,1,658
7,13,3,0,1239
8,13,2,0,651
8,13,0,1,649
8,13,1,0,636
8,13,0,3,1213
8,13,1,2,1249
8,13,0,2,598
8,13,1,3,652
8,13,2,1,1328
8,13,2,3,592
8,13,3,2,590
8,13,3,0,1206
8,13,3,1,636
9,13,3,0,822
9,13,3,2,1678
9,13,0,1,1677
9,13,2,1,844
9,13,1,2,792
9,13,0,3,836
9,13,2,3,1645
9,13,1,0,1706
10,13,3,2,1686
10,13,3,0,869
10,13,1,0,1695
10,13,0,1,1597
10,13,0,3,776
10,13,1,2,840
10,13,2,1,862
10,13,2,3,1675
11,13,3,0,873
11,13,3,1,1687
11,13,2,1,853
11,13,1,3,1705
11,13,2,0,1632
11,13,0,3,795
11,13,1,2,780
11,13,0,2,1675
12,13,0,2,1739
12,13,1,2,809
12,13,0,3,833
12,13,2,1,797
12,13,1,3,1647
12,13,3,0,839
12,13,3,1,1649
12,13,2,0,1687
