va,vb,ca,cb,win,n,job,backend,shots
10,10,1,2,0,16,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
10,10,2,2,1,195,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
10,10,3,2,0,29,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
10,10,0,3,0,26,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
10,10,1,3,0,33,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
10,10,2,3,0,48,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
10,10,3,3,1,163,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
11,11,0,0,1,157,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
11,11,1,0,0,34,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
11,11,2,0,0,39,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
11,11,3,0,0,26,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
11,11,0,1,0,41,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
11,11,1,1,1,189,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
11,11,2,1,0,21,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
11,11,3,1,0,43,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
11,11,0,2,0,45,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
11,11,1,2,0,11,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
11,11,2,2,1,151,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
11,11,3,2,0,42,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
11,11,0,3,0,30,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
11,11,1,3,0,22,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
11,11,2,3,0,39,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
11,11,3,3,1,134,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
12,12,0,0,1,227,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
12,12,1,0,0,22,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
12,12,2,0,0,22,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
12,12,3,0,0,15,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
12,12,0,1,0,33,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
12,12,1,1,1,176,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
12,12,2,1,0,20,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
12,12,3,1,0,44,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
12,12,0,2,0,22,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
12,12,1,2,0,16,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
12,12,2,2,1,153,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
12,12,3,2,0,55,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
12,12,0,3,0,16,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
12,12,1,3,0,36,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
12,12,2,3,0,39,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
12,12,3,3,1,128,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
13,13,0,0,1,162,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
13,13,1,0,0,53,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
13,13,2,0,0,31,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
13,13,3,0,0,16,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
13,13,0,1,0,44,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
13,13,1,1,1,152,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
13,13,2,1,0,26,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
13,13,3,1,0,26,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
13,13,0,2,0,30,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
13,13,1,2,0,18,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
13,13,2,2,1,173,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
13,13,3,2,0,40,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
13,13,0,3,0,24,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
13,13,1,3,0,37,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
13,13,2,3,0,37,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
13,13,3,3,1,155,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
0,1,0,0,0,26,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
0,1,1,0,1,74,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
0,1,2,0,1,110,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
0,1,3,0,1,57,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
0,1,0,1,1,84,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
0,1,1,1,0,44,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
0,1,2,1,1,36,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
0,1,3,1,1,116,cjsb5jik1qvd8tcm9kt0,ibmq_jakarta,1024
