va,vb,noise_factor,obs_value,obs_var,extrapolated_value
10,10,3,0.4287109375,0.14697885513305664,0.21972656249999994
10,10,4,0.9638671875,0.017513751983642578,0.21972656249999994
11,11,1,0.8916015625,0.049646854400634766,1.0898437499999996
11,11,2,0.896484375,0.047129154205322266,1.0898437499999996
11,11,3,0.9541015625,0.02209615707397461,1.0898437499999996
11,11,4,0.5,0.13419294357299805,1.0898437499999996
12,12,1,0.9619140625,0.018477439880371094,0.9658203125
12,12,2,0.95703125,0.020711421966552734,0.9658203125
12,12,3,0.5087890625,0.12662267684936523,0.9658203125
12,12,4,0.94921875,0.024401187896728516,0.9658203125
13,13,1,0.9638671875,0.01757335662841797,0.9296874999999999
13,13,2,0.8759765625,0.055983543395996094,0.9296874999999999
13,13,3,0.896484375,0.04685783386230469,0.9296874999999999
13,13,4,0.9443359375,0.02663278579711914,0.9296874999999999
0,1,1,0.9560546875,0.02123403549194336,0.9531249999999999
0,1,2,0.951171875,0.023412704467773438,0.9531249999999999
0,1,3,0.9677734375,0.015680789947509766,0.9531249999999999
0,1,4,0.95703125,0.02075338363647461,0.9531249999999999
0,2,1,0.9521484375,0.023014545440673828,0.7260742187499999
0,2,2,0.51171875,0.1270451545715332,0.7260742187499999
0,2,3,0.9345703125,0.03097677230834961,0.7260742187499999
0,2,4,0.9638671875,0.017476558685302734,0.7260742187499999
0,4,1,0.9794921875,0.010081768035888672,0.9770507812499994
0,4,2,0.943359375,0.027036666870117188,0.9770507812499994
0,4,3,0.9541015625,0.022127628326416016,0.9770507812499994
0,4,4,0.9482421875,0.024693012237548828,0.9770507812499994
0,3,1,0.951171875,0.023468494415283203,0.9443359374999994
0,3,2,0.955078125,0.021705150604248047,0.9443359374999994
0,3,3,0.88671875,0.05091667175292969,0.9443359374999994
0,3,4,0.96875,0.01525115966796875,0.9443359374999994
1,2,1,0.2236328125,0.18700456619262695,0.2358398437499999
1,2,2,0.9765625,0.01151275634765625,0.2358398437499999
1,2,3,0.97265625,0.01337432861328125,0.2358398437499999
1,2,4,0.9521484375,0.022984981536865234,0.2358398437499999
1,5,1,0.9560546875,0.021173954010009766,0.9594726562499999
1,5,2,0.9658203125,0.016599178314208984,0.9594726562499999
1,5,3,0.95703125,0.020781993865966797,0.9594726562499999
1,5,4,0.958984375,0.019796371459960938,0.9594726562499999
1,6,1,0.955078125,0.021665573120117188,0.9111328124999999
1,6,2,0.8671875,0.059732913970947266,0.9111328124999999
1,6,3,0.9599609375,0.019355297088623047,0.9111328124999999
1,6,4,0.955078125,0.02158212661743164,0.9111328124999999
2,7,1,0.9560546875,0.021228313446044922,0.9541015624999994
2,7,2,0.95703125,0.02068471908569336,0.9541015624999994
2,7,3,0.9599609375,0.019365787506103516,0.9541015624999994
2,7,4,0.9609375,0.018951416015625,0.9541015624999994
2,8,1,0.9619140625,0.018463611602783203,0.9589843749999999
2,8,2,0.95703125,0.020800113677978516,0.9589843749999999
2,8,3,0.9736328125,0.012924671173095703,0.9589843749999999
2,8,4,0.962890625,0.017999649047851562,0.9589843749999999
3,4,1,0.25,0.18741941452026367,0.2587890625
3,4,2,0.9765625,0.011495590209960938,0.2587890625
3,4,3,0.298828125,0.18670034408569336,0.2587890625
3,4,4,0.958984375,0.019838333129882812,0.2587890625
3,10,1,0.259765625,0.18706703186035156,0.028808593749999778
3,10,2,0.50390625,0.13104820251464844,0.028808593749999778
3,10,3,0.9560546875,0.021190166473388672,0.028808593749999778
3,10,4,0.9658203125,0.016579151153564453,0.028808593749999778
3,11,1,0.9755859375,0.01196908950805664,0.9785156249999994
3,11,2,0.9560546875,0.021190166473388672,0.9785156249999994
3,11,3,0.95703125,0.020759105682373047,0.9785156249999994
3,11,4,0.9501953125,0.023826122283935547,0.9785156249999994
4,12,1,0.4326171875,0.1443166732788086,0.43896484374999967
4,12,2,0.9599609375,0.019370079040527344,0.43896484374999967
4,12,3,0.2802734375,0.18603086471557617,0.43896484374999967
4,12,4,0.947265625,0.025152206420898438,0.43896484374999967
4,9,1,0.953125,0.022590160369873047,0.9692382812499999
4,9,2,0.982421875,0.008661270141601562,0.9692382812499999
4,9,3,0.9521484375,0.02305746078491211,0.9692382812499999
4,9,4,0.9501953125,0.023903369903564453,0.9692382812499999
5,6,1,0.9560546875,0.02115154266357422,0.5971679687500001
5,6,2,0.244140625,0.1870746612548828,0.5971679687500001
5,6,3,0.0771484375,0.04997873306274414,0.5971679687500001
5,6,4,0.9619140625,0.018478870391845703,0.5971679687500001
5,11,1,0.9609375,0.018935680389404297,1.18798828125
5,11,2,0.9599609375,0.019375324249267578,1.18798828125
5,11,3,0.21875,0.1870427131652832,1.18798828125
5,11,4,0.505859375,0.13427305221557617,1.18798828125
5,12,1,0.466796875,0.1345219612121582,0.46435546874999983
5,12,2,0.95703125,0.02075338363647461,0.46435546874999983
5,12,3,0.974609375,0.012449264526367188,0.46435546874999983
5,12,4,0.9619140625,0.018424510955810547,0.46435546874999983
6,9,1,0.9716796875,0.013859272003173828,0.9682617187499999
6,9,2,0.9580078125,0.020334720611572266,0.9682617187499999
6,9,3,0.9609375,0.018915653228759766,0.9682617187499999
6,9,4,0.96484375,0.017084121704101562,0.9682617187499999
6,10,1,0.48828125,0.12592506408691406,0.7119140624999999
6,10,2,0.966796875,0.01611948013305664,0.7119140624999999
6,10,3,0.9580078125,0.020328998565673828,0.7119140624999999
6,10,4,0.51953125,0.1293506622314453,0.7119140624999999
7,8,1,0.5078125,0.12686920166015625,0.5019531249999997
7,8,2,0.943359375,0.02707815170288086,0.5019531249999997
7,8,3,0.470703125,0.13293695449829102,0.5019531249999997
7,8,4,0.955078125,0.02160024642944336,0.5019531249999997
7,10,1,0.982421875,0.008662700653076172,0.5468749999999999
7,10,2,0.0791015625,0.12282896041870117,0.5468749999999999
7,10,3,0.96484375,0.017048358917236328,0.5468749999999999
